List,Display_Title,Grain,Column,Type,Required,Indexed,Choices,Column_Note,List_Note
MF_Installation,MF Installation,One row per installation,Installation_ID,Text,Y,Y,,Canonical key. Must match the COP MF_Installation.Installation_ID.,
MF_Installation,MF Installation,One row per installation,Installation_Name,Text,Y,N,,,
MF_Installation,MF Installation,One row per installation,Portfolio_ID,Text,Y,Y,,,
MF_Installation,MF Installation,One row per installation,MAJCOM,Text,N,N,,,
MF_Installation,MF Installation,One row per installation,EOM_Folder_URL,URL,N,N,,Teams/SharePoint FY folder root for this installation,
MF_Installation,MF Installation,One row per installation,Active_Flag,Boolean,Y,N,,,
MF_Facility,MF Facility,One row per feeding facility,Facility_ID,Text,Y,Y,,"Unique enterprise-wide, not per installation","Operating_Model is HERE, not on the installation. Lackland can run a legacy DFAC and a Food 2.0 cafe simultaneously; the requirement set is driven by the facility's model."
MF_Facility,MF Facility,One row per feeding facility,Installation_ID,Text,Y,Y,,,"Operating_Model is HERE, not on the installation. Lackland can run a legacy DFAC and a Food 2.0 cafe simultaneously; the requirement set is driven by the facility's model."
MF_Facility,MF Facility,One row per feeding facility,Facility_Name,Text,Y,N,,,"Operating_Model is HERE, not on the installation. Lackland can run a legacy DFAC and a Food 2.0 cafe simultaneously; the requirement set is driven by the facility's model."
MF_Facility,MF Facility,One row per feeding facility,Facility_Type,Choice,Y,N,Main DFAC; Flight Kitchen; Kiosk; Satellite; MAF; Contract Cafe,,"Operating_Model is HERE, not on the installation. Lackland can run a legacy DFAC and a Food 2.0 cafe simultaneously; the requirement set is driven by the facility's model."
MF_Facility,MF Facility,One row per feeding facility,Operating_Model,Choice,Y,N,Legacy/APF; Food 2.0; MAFFO/MAF; AOR/CDS,Drives which requirements apply to THIS facility,"Operating_Model is HERE, not on the installation. Lackland can run a legacy DFAC and a Food 2.0 cafe simultaneously; the requirement set is driven by the facility's model."
MF_Facility,MF Facility,One row per feeding facility,Contract_ID,Text,N,N,,Nullable. Set for contract-scope requirements.,"Operating_Model is HERE, not on the installation. Lackland can run a legacy DFAC and a Food 2.0 cafe simultaneously; the requirement set is driven by the facility's model."
MF_Facility,MF Facility,One row per feeding facility,Active_Flag,Boolean,Y,N,,,"Operating_Model is HERE, not on the installation. Lackland can run a legacy DFAC and a Food 2.0 cafe simultaneously; the requirement set is driven by the facility's model."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Requirement_ID,Text,Y,Y,,,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Document_Code,Text,Y,N,,"1119, 1119-1, SIK, SF1080, DAF79, 1038, SAIIT","THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Document_Name,Text,Y,N,,,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Applicable_Model,Choice,Y,N,Legacy/APF; Food 2.0; MAFFO/MAF; AOR/CDS; All,'All' applies regardless of facility model,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Requirement_Scope,Choice,Y,N,Facility; Installation; Contract,"Determines the grain of the generated EOM_Item. Portfolio reserved, not implemented.","THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Applicable_Facility_Types,Text,N,N,,Semicolon list. Blank = all types. Kiosks rarely file a 1119.,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Frequency,Choice,Y,N,Monthly; Quarterly; Semiannual; Annual; Conditional,,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Required_Flag,Boolean,Y,N,,,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Due_Day,Number,N,N,,Day of the month following the reporting period. Configurable — changing 10 to 15 never touches the app.,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Due_Offset_Months,Number,N,N,,Usually 1. Set higher for lagging requirements.,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,QC_Required,Boolean,Y,N,,,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Accepted_File_Types,Text,N,N,,Advisory only in MVP. xlsx;pdf,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Authority_Reference,Text,N,N,,UNVERIFIED means do not enforce. The app still shows the box; the requirement is inactive until validated.,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Authority_Status,Choice,Y,N,Verified; UNVERIFIED; Management decision,UNVERIFIED requirements generate items but never drive Red,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Sort_Order,Number,N,N,,,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Active_Flag,Boolean,Y,N,,,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,EOM_Item_ID,Text,Y,Y,,,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,EOM_Item_Key,Text,Y,Y,,Human-readable compound key: LACKLAND|BLDG1234|2026-10|1119. Drives duplicate prevention and flow idempotency.,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Portfolio_ID,Text,Y,Y,,"Denormalized. The portfolio filter is the first server-side filter on every query, so it must be on the row.",Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Installation_ID,Text,Y,Y,,,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Facility_ID,Text,N,Y,,NULLABLE. Null for Installation-scope and Contract-scope rows.,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Contract_ID,Text,N,N,,NULLABLE. Set for Contract-scope rows.,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Reporting_Period,Text,Y,Y,,YYYY-MM,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Requirement_ID,Text,Y,Y,,,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Requirement_Scope,Choice,Y,N,Facility; Installation; Contract,Denormalized from the requirement so the app can filter without a join,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Required_Flag,Boolean,Y,N,,,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
