Requirement_ID,Document_Code,Document_Name,Applicable_Model,Requirement_Scope,Scope_Confidence,Scope_Basis,Applicable_Facility_Types,Frequency,Required_Flag,Due_Day,Due_Basis,Final_Due_Day,Final_Due_Basis,NonDutyDay_Policy,QC_Required,Authority_Reference,Authority_Status,Sort_Order,Active_Flag
REQ-001,1119,AF Form 1119 Feeding Summary,Legacy/APF,Facility,High,The 1119 initialises one facility and one month; SAIIT requires 1119 sales to match CrunchTime and Aloha per operation.,Main DFAC;Flight Kitchen;Satellite;MAF,Monthly,TRUE,5,CALENDAR,10,CALENDAR,NEXT_DUTY_DAY,TRUE,"AFSVC EOM/EOY Procedures, Required Documents.",VERIFIED,10,TRUE
REQ-002,1119-1,AF Form 1119-1 (Field feeding),Legacy/APF,Facility,Medium,Follows the 1119's grain if it is filed alongside it.,Main DFAC;Flight Kitchen;Satellite;MAF,Conditional,FALSE,5,CALENDAR,10,CALENDAR,NEXT_DUTY_DAY,TRUE,"AFSVC EOM/EOY Procedures names this FIELD FEEDING. OPEN RULING: seeded Conditional and not auto-generated, because auto-generating it would red-flag every DFAC that ran no field feeding. If it is in fact a monthly companion to the 1119, set Frequency=Monthly and Required_Flag=TRUE.",VERIFIED,20,TRUE
REQ-003,SF1080,SF 1080 Voucher for Transfers,Legacy/APF,Installation,Proposed,Reimbursement is normally consolidated. NOT supported by the deck either way.,,Monthly,TRUE,5,CALENDAR,10,CALENDAR,NEXT_DUTY_DAY,TRUE,"AFSVC EOM/EOY Procedures, Required Documents. Scope PROPOSED.",VERIFIED,30,TRUE
REQ-004,SAIIT,"SAIIT review (Sales, Adjustments, Invoices, Inventory, Transfers)",Legacy/APF,Facility,High,"Written around DFAC and storeroom management: inventory review, sales, adjustments, invoices, transfers between operations at one installation.",Main DFAC;Flight Kitchen;Satellite;MAF,Monthly,TRUE,5,CALENDAR,10,CALENDAR,NEXT_DUTY_DAY,TRUE,"AFSVC EOM/EOY Procedures. DFAC Manager Handbook 1.7.5.3 — SAIIT review within 24 hours of storeroom review, completed NLT 5 days after the inventory date.",VERIFIED,40,TRUE
REQ-005,GPC,Bank Statement (GPC purchases),Legacy/APF,Installation,Proposed,"Installation initially, deliberately NOT facility. If an installation has multiple cardholders this may need an account/cardholder grain, and hard-wiring it to facility now would make that a schema change instead of a configuration change.",,Monthly,TRUE,5,CALENDAR,10,CALENDAR,NEXT_DUTY_DAY,TRUE,"AFSVC EOM/EOY Procedures, Required Documents. Scope PROPOSED.",VERIFIED,50,TRUE
REQ-006,1038,AF Form 1038,Legacy/APF,Installation,Low,Administrative rather than operational. Weakest scope evidence of the six.,,Quarterly,TRUE,5,CALENDAR,10,CALENDAR,NEXT_DUTY_DAY,TRUE,"AFSVC EOM/EOY Procedures, Required Documents — QUARTERLY. Generates Dec/Mar/Jun/Sep only. Scope PROPOSED.",VERIFIED,60,TRUE
REQ-020,EOY-MFR,EOY disinterested party memorandum (MFR),Legacy/APF,Facility,Medium,The MFR is prepared by the DFAC manager for that facility's inventory.,Main DFAC;Flight Kitchen;Satellite;MAF,Annual,TRUE,5,CALENDAR,10,CALENDAR,NEXT_DUTY_DAY,TRUE,"DAFMAN 34-131 7.14.5 via AFSVC EOM/EOY Procedures. DFAC manager prepares an MFR identifying inventory officers, outlining inventory and physical value; FSO/FSSC signs; copy to the Food Service Accountant.",VERIFIED,70,TRUE
REQ-021,EOY-INV,EOY inventory — signed last page,Legacy/APF,Facility,Medium,"Follows the inventory, which is conducted per operation.",Main DFAC;Flight Kitchen;Satellite;MAF,Annual,TRUE,5,CALENDAR,10,CALENDAR,NEXT_DUTY_DAY,TRUE,"DAFMAN 34-131 7.14.5. Last page of the inventory to AFSVC/VMF; ANG to NGB/A1X — see MF_Installation.Component. EOY physical inventory 30 September, Inventory Officer from outside Food Service (7.14; Storeroom Handbook 5.3.4).",VERIFIED,80,TRUE
REQ-007,SIK,Subsistence-in-Kind Bill,Legacy/APF,Installation,Proposed,,,Monthly,FALSE,5,CALENDAR,10,CALENDAR,NEXT_DUTY_DAY,TRUE,Not listed in the current AFSVC EOM/EOY Required Documents procedure; retain inactive pending contrary authority.,RETIRED_OR_NOT_APPLICABLE,90,FALSE
REQ-008,DAF79,DAF Form 79,All,Installation,Proposed,,,Monthly,FALSE,5,CALENDAR,10,CALENDAR,NEXT_DUTY_DAY,TRUE,Not listed in the current AFSVC EOM/EOY Required Documents procedure.,UNVERIFIED,91,FALSE
REQ-010,CONTRACTOR-INV,Contractor invoice / Food 2.0 support,Food 2.0,Contract,Proposed,One invoice may cover several facilities under one CLIN.,,Monthly,FALSE,5,CALENDAR,15,CALENDAR,NEXT_DUTY_DAY,TRUE,DEFERRED pending the Food 2.0 handbook. Aramark/Sodexo breakdowns reorganise into Portfolios 1-4 in October.,UNVERIFIED,95,FALSE
REQ-011,SAIIT,SAIIT review,Food 2.0,Facility,Medium,,Main DFAC;Contract Cafe;MAF,Monthly,FALSE,5,CALENDAR,15,CALENDAR,NEXT_DUTY_DAY,TRUE,DEFERRED with the Food 2.0 package.,UNVERIFIED,96,FALSE
REQ-012,MIDMONTH-INV,Mid-month inventory review,Legacy/APF,Facility,High,Same grain as the month-end inventory.,Main DFAC;MAF,Monthly,FALSE,20,CALENDAR,25,CALENDAR,NEXT_DUTY_DAY,FALSE,OUT OF SCOPE for v1. DFAC Manager Handbook 1.7.5.3: inventories are completed on the 15th AND the last day of every month. Only the month-end cycle is an EOM submission today.,VERIFIED,97,FALSE
