Installation_ID,Installation_Name,Source_Installation_String,Location,Portfolio_ID,MAJCOM,Component,EOM_Folder_URL,Generation_Enabled,Registry_Validated_By,Registry_Validated_Date,Source_System,Needs_Review_Flag,DODAAC,DODAAD,Org_Box_Email,Official_POC_UPN,Active_Flag
ALTUS_AFB,ALTUS AFB,ALTUS AFB,OKLAHOMA (OK),PORTFOLIO 2,AETC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
ANDERSEN_AB,ANDERSEN AB,ANDERSEN AB,GUAM,PORTFOLIO 1,PACAF,Active,,TRUE,pilot.seed@example.mil,2026-08-31,Mission Feeding QRG,FALSE,,,,,TRUE
AVIANO_AB,AVIANO AB,AVIANO AB,ITALY,PORTFOLIO 4,USAFE,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
BARKSDALE_AFB,BARKSDALE AFB,BARKSDALE AFB,LOUISIANA (LA),PORTFOLIO 2,AFGSC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
BEALE_AFB,BEALE AFB,BEALE AFB,CALIFORNIA (CA),PORTFOLIO 1,ACC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
BUECHEL_AB,BUECHEL AB,BUECHEL AB,GERMANY,PORTFOLIO 4,USAFE,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
CANNON_AFB,CANNON AFB,CANNON AFB,NEW MEXICO (NM),PORTFOLIO 2,AFSOC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
JB_CHARLESTON,JB CHARLESTON,"CHARLESTON, JB",SOUTH CAROLINA (SC),PORTFOLIO 4,AMC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
CLEAR_SFS,CLEAR SFS,CLEAR SFS,ALASKA (AK),PORTFOLIO 1,USSF,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
CREECH_AFB,CREECH AFB,CREECH AFB,NEVADA (NV),PORTFOLIO 1,ACC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
DAVIS_MONTHAN_AFB,DAVIS MONTHAN AFB,DAVIS MONTHAN AFB,ARIZONA (AZ),PORTFOLIO 1,ACC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
DOVER_AFB,DOVER AFB,DOVER AFB,DELAWARE (DE),PORTFOLIO 4,AMC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
DYESS_AFB,DYESS AFB,DYESS AFB,TEXAS (TX),PORTFOLIO 2,AFGSC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
EDWARDS_AFB,EDWARDS AFB,EDWARDS AFB,CALIFORNIA (CA),PORTFOLIO 1,AFMC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
EGLIN_AFB,EGLIN AFB,EGLIN AFB;EGLIN AFB (2.0),FLORIDA (FL),PORTFOLIO 4,AFMC,Active,,TRUE,pilot.seed@example.mil,2026-08-31,Mission Feeding QRG,TRUE,,,,,TRUE
EIELSON_AFB,EIELSON AFB,EIELSON AFB,ALASKA (AK),PORTFOLIO 1,PACAF,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
ELLSWORTH_AFB,ELLSWORTH AFB,ELLSWORTH AFB,SOUTH DAKOTA (SD),PORTFOLIO 3,AFGSC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
JB_ELMENDORF,JB ELMENDORF,"ELMENDORF, JB",ALASKA (AK),PORTFOLIO 1,PACAF,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
FAIRCHILD_AFB,FAIRCHILD AFB,FAIRCHILD AFB,WASHINGTON (WA),PORTFOLIO 1,AMC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
FE_WARREN_AFB,FE WARREN AFB,FE WARREN AFB (2.0);FE WARREN AFB (MAF),WYOMING (WY),PORTFOLIO 3,AFGSC,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
FT_GREGG_ADAMS,FT. GREGG ADAMS,FT. GREGG ADAMS,VIRGINIA (VA),PORTFOLIO 4,AETC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
FT_MEADE,FT. MEADE,FT. MEADE,MARYLAND (MD),PORTFOLIO 4,ACC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
GHEDI_AB,GHEDI AB,GHEDI AB,ITALY,PORTFOLIO 4,USAFE,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
GOODFELLOW_AFB,GOODFELLOW AFB,GOODFELLOW AFB,TEXAS (TX),PORTFOLIO 2,AETC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
GRAND_FORKS_AFB,GRAND FORKS AFB,GRAND FORKS AFB,NORTH DAKOTA (ND),PORTFOLIO 3,ACC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
JBP_HICKAM,JBP HICKAM,"HICKAM, JBP",HAWAII (HI),PORTFOLIO 1,PACAF,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
HILL_AFB,HILL AFB,HILL AFB,UTAH (UT),PORTFOLIO 3,AFMC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
HOLLOMAN_AFB,HOLLOMAN AFB,HOLLOMAN AFB,NEW MEXICO (NM),PORTFOLIO 2,ACC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
HURLBURT_FIELD,HURLBURT FIELD,HURLBURT FIELD,FLORIDA (FL),PORTFOLIO 4,AFSOC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
INCIRLIK_AB,INCIRLIK AB,INCIRLIK AB,TURKEY,PORTFOLIO 4,USAFE,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
JBSA_LACKLAND,JBSA LACKLAND,JBSA LACKLAND,TEXAS (TX),PORTFOLIO 2,AETC,Active,,TRUE,pilot.seed@example.mil,2026-08-31,Mission Feeding QRG,FALSE,,,,,TRUE
JBSA_RANDOLPH,JBSA RANDOLPH,JBSA RANDOLPH,TEXAS (TX),PORTFOLIO 2,AETC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
KADENA_AB,KADENA AB,KADENA AB,JAPAN,PORTFOLIO 1,PACAF,Active,,TRUE,pilot.seed@example.mil,2026-08-31,Mission Feeding QRG,FALSE,,,,,TRUE
KEESLER_AFB,KEESLER AFB,KEESLER AFB,MISSISSIPPI (MS),PORTFOLIO 4,AETC,Active,,TRUE,pilot.seed@example.mil,2026-08-31,Mission Feeding QRG,FALSE,,,,,TRUE
KIRTLAND_AFB,KIRTLAND AFB,KIRTLAND AFB,NEW MEXICO (NM),PORTFOLIO 2,AFGSC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
