Title,Requirement_ID,Requirement_Code,Requirement_Category,Requirement_Scope,Applies_To_Operating_Model,Frequency,Due_Rule,Due_Offset_Days,Suspense_Offset_Days,Verification_Status,Verification_Date,Authority_Reference,Accepted_File_Types,Requires_QC,QC_Role,Effective_Start_Date,Effective_End_Date,Is_Active
Headcount and Meal Count Reconciliation,REQ-001,HCR,Accountability,Facility,,Monthly,EOM+5BD,7,10,UNVERIFIED,,PROVISIONAL - no authority confirmed. Sourced from the FY25 portfolio EOM checklist spreadsheet; the governing regulation has not been identified.,".pdf,.xlsx,.xlsm",TRUE,Reviewer,2025-10-01,,TRUE
Subsistence Inventory Report,REQ-002,INV,Inventory,Facility,Legacy_DFAC;Contractor_Operated,Monthly,EOM+5BD,7,10,UNVERIFIED,,PROVISIONAL - no authority confirmed. Believed to derive from subsistence accountability policy; citation not yet located.,".pdf,.xlsx",TRUE,Reviewer,2025-10-01,,TRUE
Cash Collection and Meal Card Deposit Summary,REQ-003,CSH,Financial,Facility,,Monthly,EOM+3BD,5,7,UNVERIFIED,,PROVISIONAL - no authority confirmed. Practice inherited from the installation finance office.,".pdf,.xlsx",TRUE,Reviewer,2025-10-01,,TRUE
Food Cost Performance Summary,REQ-004,FCP,Financial,Facility,,Monthly,EOM+10BD,14,21,UNVERIFIED,,PROVISIONAL - no authority confirmed. Programme management request; not known to be a formal requirement.,".pdf,.xlsx,.pptx",TRUE,Reviewer,2025-10-01,,TRUE
Food Safety and Sanitation Inspection Log,REQ-005,SAN,Food_Safety,Facility,,Monthly,EOM+5BD,7,10,UNVERIFIED,,PROVISIONAL - no authority confirmed. Almost certainly a real regulatory obligation; the specific citation must be confirmed before this drives a Red status.,".pdf",TRUE,Reviewer,2025-10-01,,TRUE
Equipment Status and Deadline Report,REQ-006,EQP,Equipment,Facility,,Monthly,EOM+5BD,7,14,UNVERIFIED,,PROVISIONAL - no authority confirmed. Held inactive for R1: equipment is an R3 module and this row exists only to prove the inactive path.,".pdf,.xlsx",TRUE,Reviewer,2025-10-01,,FALSE
Labor Hours and Staffing Report,REQ-007,LBR,Personnel,Facility,,Monthly,EOM+5BD,7,10,UNVERIFIED,,PROVISIONAL - no authority confirmed. Sourced from the FY25 portfolio EOM checklist spreadsheet.,".pdf,.xlsx",TRUE,Reviewer,2025-10-01,,TRUE
Contractor Invoice and CLIN Reconciliation,REQ-008,CLIN,Contract,Contract,Contractor_Operated,Monthly,EOM+15BD,20,30,UNVERIFIED,,PROVISIONAL - no authority confirmed. One invoice may cover several facilities under one CLIN which is why this is Contract scope.,".pdf,.xlsx",TRUE,InstallationManager,2025-10-01,,TRUE
Installation Consolidated EOM Certification,REQ-009,CERT,Accountability,Installation,,Monthly,EOM+20BD,25,30,UNVERIFIED,,PROVISIONAL - no authority confirmed. Installation-scope row: Facility_ID is null by design.,".pdf",TRUE,InstallationManager,2025-10-01,,TRUE
Patron Satisfaction Survey Summary,REQ-010,SURV,Customer,Facility,,Quarterly,QE+20BD,25,35,UNVERIFIED,,PROVISIONAL - no authority confirmed. Held inactive for R1: the survey instrument is not yet fielded.,".pdf,.xlsx",FALSE,Reviewer,2025-10-01,,FALSE
End of Year Subsistence Closeout and Inventory Certification,REQ-011,EOY,Closeout,Installation,,Annual,FYE+30D,30,45,UNVERIFIED,,PROVISIONAL - no authority confirmed. Fiscal year closeout; Installation scope so Facility_ID is null. This is the EOY path through the same engine as EOM.,".pdf,.xlsx",TRUE,InstallationManager,2025-10-01,,TRUE
Food 2.0 Menu and Nutrition Standards Attestation,REQ-012,NUTR,Nutrition,Facility,Food_2_0;Hybrid,Monthly,EOM+10BD,14,21,UNVERIFIED,,PROVISIONAL - no authority confirmed. Held inactive for R1. Applies to Food 2.0 and hybrid facilities only which is why the operating model lives on the facility.,".pdf,.docx",TRUE,Reviewer,2025-10-01,,FALSE
