List,Display_Title,Grain,Column,Type,Required,Indexed,Choices,Column_Note,List_Note
MF_Installation,MF Installation,One row per installation,Installation_ID,Text,Y,Y,,Canonical key. Must match the COP MF_Installation.Installation_ID.,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,Installation_Name,Text,Y,N,,,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,Source_Installation_String,Text,N,N,,The base's name exactly as it appeared in the source QRG. Kept so a registry correction can be traced back rather than argued about.,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,Location,Text,N,N,,"State or country, from the QRG.","With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,Portfolio_ID,Text,Y,Y,,,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,MAJCOM,Text,N,N,,,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,Component,Choice,Y,N,Active; ANG; AFRC,"Active, ANG or AFRC. ANG routes EOY inventory to NGB/A1X, not AFSVC/VMF — see MF_EOM_Requirement.Routing_Org.","With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,EOM_Folder_URL,URL,N,N,,Teams/SharePoint folder root for this installation,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,Generation_Enabled,Boolean,Y,Y,,"THE onboarding gate. EOM-01 generates only where this is TRUE. A base with it FALSE reads as 'not yet onboarded', never as compliant. Flip it after the facilities and operating models are populated and validated.","With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,Registry_Validated_By,Text,N,N,,Who signed off this base's registry entry.,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,Registry_Validated_Date,DateTime,N,N,,,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,Source_System,Text,N,N,,Where the row came from. 'Mission Feeding QRG' for the initial load.,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,Needs_Review_Flag,Boolean,N,N,,Set by the QRG import where the source row was ambiguous. See configuration/qrg-data-quality.csv.,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,DODAAC,Text,N,N,,,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,DODAAD,Text,N,N,,,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,Org_Box_Email,Text,N,N,,Portfolio or installation org box. Notification target — a person's mailbox is never a notification target.,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,Official_POC_UPN,Text,N,N,,Resolved identity. The QRG POC column is a DISPLAY NAME and is never an identity; see security/security-manifest.yaml.,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Installation,MF Installation,One row per installation,Active_Flag,Boolean,Y,Y,,,"With MF_Facility this is the authoritative EOM operational registry until an enterprise source supersedes it. CrunchTime, Aloha Enterprise and Teams all differ and none tracks what EOM needs, so it is built here by hand and signed off per base."
MF_Facility,MF Facility,One row per feeding facility,Facility_ID,Text,Y,Y,,"Unique enterprise-wide, not per installation. INSTALLATION|FACILITY.","Operating_Model is HERE, not on the installation. One base can run a legacy DFAC and a Food 2.0 cafe simultaneously, and the requirement set follows the facility. Multi-facility installations are normal: the SAIIT guidance describes transfers between a second DFAC and a flight kitchen at the same base, and the 1119 initialises ONE facility and one month."
MF_Facility,MF Facility,One row per feeding facility,Installation_ID,Text,Y,Y,,,"Operating_Model is HERE, not on the installation. One base can run a legacy DFAC and a Food 2.0 cafe simultaneously, and the requirement set follows the facility. Multi-facility installations are normal: the SAIIT guidance describes transfers between a second DFAC and a flight kitchen at the same base, and the 1119 initialises ONE facility and one month."
MF_Facility,MF Facility,One row per feeding facility,Facility_Name,Text,Y,N,,,"Operating_Model is HERE, not on the installation. One base can run a legacy DFAC and a Food 2.0 cafe simultaneously, and the requirement set follows the facility. Multi-facility installations are normal: the SAIIT guidance describes transfers between a second DFAC and a flight kitchen at the same base, and the 1119 initialises ONE facility and one month."
MF_Facility,MF Facility,One row per feeding facility,Designation,Text,N,N,,Local designation where the QRG carried one.,"Operating_Model is HERE, not on the installation. One base can run a legacy DFAC and a Food 2.0 cafe simultaneously, and the requirement set follows the facility. Multi-facility installations are normal: the SAIIT guidance describes transfers between a second DFAC and a flight kitchen at the same base, and the 1119 initialises ONE facility and one month."
MF_Facility,MF Facility,One row per feeding facility,Unit,Text,N,N,,"Owning unit, e.g. 97 FSS.","Operating_Model is HERE, not on the installation. One base can run a legacy DFAC and a Food 2.0 cafe simultaneously, and the requirement set follows the facility. Multi-facility installations are normal: the SAIIT guidance describes transfers between a second DFAC and a flight kitchen at the same base, and the 1119 initialises ONE facility and one month."
