Title,Config_Value,Config_Type,Environment_Tag,Description,Effective_From,Effective_To,Is_Active
AppVersion,1.0.0,Text,PROD,Semantic version of the deployed canvas app. Written into every telemetry row. Bump with the release tag.,,,TRUE
SchemaVersion,2.0,Text,PROD,Schema version this app expects. The app warns on scrDiagnostics if it does not match what scripts/eom_schema.py declares.,,,TRUE
TenantCloud,UNKNOWN,Text,PROD,UsGov | UsGovHigh | UsGovDod. MUST be set before provisioning. Provision-MFOpsLists.ps1 refuses to run while this is UNKNOWN. See docs/government-environment-mode.md.,,,TRUE
PacCliAuthorized,UNKNOWN,Text,PROD,TRUE | FALSE | UNKNOWN. Whether the build is permitted to run PAC CLI against this tenant. Does not change the design; changes the deployment path.,,,TRUE
SiteUrl,SET_AT_DEPLOY,Text,PROD,SharePoint site collection URL. No URL is hard-coded anywhere in the app or the flows; everything reads this key.,,,TRUE
EvidenceLibraryPath,Shared Documents/Mission Feeding Evidence,Text,PROD,Server-relative path of the evidence document library that EOM-05 writes to and EOM-02 watches at library level.,,,TRUE
PortfolioRootPath,Shared Documents/Mission Feeding Evidence/Portfolio,Text,PROD,Root under which the Portfolio FY folders live. Files dropped here are discovered by EOM-02 and routed to Needs Classification.,,,TRUE
MaintenanceMode,false,Boolean,PROD,Kill switch. true sends every user without Developer_Flag to scrMaintenance before any data source is opened.,,,TRUE
ReadOnlyMode,false,Boolean,PROD,true disables every write affordance in the app AND makes the upload and QC flows refuse to write. Enforced in both places; the disabled control is a courtesy and the flow check is the control.,,,TRUE
MaintenanceMessage,Mission Feeding Operations is temporarily unavailable for scheduled maintenance. Your submissions are safe. Try again after the window closes.,Text,PROD,Shown on scrMaintenance. Plain language; no ticket numbers.,,,TRUE
DueSoonWindowDays,7,Number,PROD,Days before Suspense_Date at which an unsubmitted item becomes DUE_SOON (Amber). See docs/status-calculation.md step 8c.,,,TRUE
MaxUploadSizeMB,50,Number,PROD,Rejected at the app before the flow is called and again inside the flow.,,,TRUE
DefaultPageSize,100,Number,PROD,Gallery page size. Kept well under the delegation ceiling so a truncated result is visible rather than silent.,,,TRUE
DelegationWarningThreshold,2000,Number,PROD,scrDiagnostics warns when a result set approaches this. The hard SharePoint ceiling is 2000 rows on a non-delegable query.,,,TRUE
TelemetrySamplingPercent,100,Number,PROD,Percentage of ScreenView events written. Upload, QCDecision, AccessDenied and Error are always written regardless of this value.,,,TRUE
SupportContact,mission.feeding.support@example.mil,Text,PROD,Shown on scrNoAccess and scrMaintenance. Replace at deploy.,,,TRUE
OpenPeriodLookbackMonths,3,Number,PROD,How many closed periods remain visible in the app for reference. R1 does not backfill periods older than this.,,,TRUE
QCReturnRequiresComment,true,Boolean,PROD,Enforced by EOM-04 and the QC flow. A return without a comment and a new suspense date is rejected. Do not set false.,,,TRUE
