Facility_ID,Installation_ID,Facility_Name,Facility_Type,Operating_Model,Contract_ID,Active_Flag
FAC-LACK-1234,INST-LACKLAND,Bldg 1234 DFAC,Main DFAC,Legacy/APF,,TRUE
FAC-LACK-CAFE,INST-LACKLAND,Gateway Cafe,Contract Cafe,Food 2.0,CTR-LACK-FY27,TRUE
FAC-LACK-FK,INST-LACKLAND,Flight Kitchen 2,Flight Kitchen,Legacy/APF,,TRUE
FAC-LACK-KIOSK,INST-LACKLAND,Wing HQ Kiosk,Kiosk,Food 2.0,CTR-LACK-FY27,TRUE
FAC-MINOT-1120,INST-MINOT,Bldg 1120 DFAC,Main DFAC,Legacy/APF,,TRUE
FAC-MINOT-MAF,INST-MINOT,Missile Alert Facility North,MAF,MAFFO/MAF,,TRUE
FAC-MALM-MAF,INST-MALMSTROM,Missile Alert Facility Echo,MAF,MAFFO/MAF,,TRUE
FAC-WHITE-DFAC,INST-WHITEMAN,Ozark Inn DFAC,Main DFAC,Legacy/APF,,TRUE
FAC-CREECH-200,INST-CREECH,Bldg 200 DFAC,Main DFAC,Food 2.0,CTR-CREECH-FY27,TRUE
FAC-LACK-OLD,INST-LACKLAND,Bldg 900 DFAC (closed),Main DFAC,Legacy/APF,,FALSE
