Title,Flag_Value,Default_Value,Scope,Enabled_For_Roles,Enabled_For_UPNs,Description,Requires_Capability,Is_Active
EnableAppUpload,TRUE,TRUE,Global,,,The app is the front door for submissions. Upload is collected by the app and written by EOM-05; the Attachments control is not used.,Capability.4.PowerAutomate,TRUE
EnableFolderDropIntake,TRUE,TRUE,Global,,,Folder drops keep working. EOM-02 watches the library and routes strays to Needs Classification.,Capability.4.PowerAutomate,TRUE
EnableUnmatchedQueue,TRUE,TRUE,Global,,,scrUnmatched. Turning this off hides the queue but does not stop EOM-02 writing to it.,Capability.4.PowerAutomate,TRUE
EnableEOYModule,TRUE,TRUE,Global,,,End of year closeout items. Same engine and same row shape as EOM; only the reporting period differs.,,TRUE
EnableDiagnosticsScreen,TRUE,TRUE,Role,Developer,,scrDiagnostics. Still additionally requires Developer_Flag on MF_Security_Mapping; the flag alone is not sufficient.,,TRUE
EnableNotifications,FALSE,FALSE,Global,,,EOM-04 email notifications. Ships FALSE. Read the event log for a full cycle before enabling.,Capability.7.Outlook,TRUE
EnablePowerBIEmbed,FALSE,FALSE,Global,,,Embedded COP tile on scrHome. Ships FALSE until the gov-region workspace is confirmed.,Capability.6.PowerBI,TRUE
EnableDocumentContentAI,FALSE,FALSE,Global,,,Tier 2 content-based classification. Ships FALSE and no code path exists in R1. The architecture declares facility document type and period at upload so inference is not needed.,Capability.9.AIBuilder,TRUE
EnableAIBuilder,FALSE,FALSE,Global,,,Tier 3 AI Builder classification. Ships FALSE. AI Builder must never become a dependency whose availability could block the app.,Capability.9.AIBuilder,TRUE
EnableTesterPreview,FALSE,FALSE,User,,,Lets Tester_Flag holders see unreleased screens in the shared environment without altering production defaults.,,TRUE
